,Label
Protocol,-0.43820316402909953
Flow Duration,-0.20829384622700292
Tot Fwd Pkts,0.012024039220158364
Tot Bwd Pkts,-0.009678349985250032
TotLen Fwd Pkts,0.013316635251667182
TotLen Bwd Pkts,-0.005429575272260629
Fwd Pkt Len Max,0.2749127948171613
Fwd Pkt Len Min,-0.35933549700870765
Fwd Pkt Len Mean,0.28819998059375507
Fwd Pkt Len Std,0.38151665597372614
Bwd Pkt Len Max,-0.18841967787973188
Bwd Pkt Len Min,-0.40186424366306167
Bwd Pkt Len Mean,-0.2434409138554795
Bwd Pkt Len Std,-0.07018596238020224
Flow Byts/s,-0.028278789189953794
Flow Pkts/s,-0.06841087944388854
Flow IAT Mean,-0.06133983218230556
Flow IAT Std,-0.07800630237998324
Flow IAT Max,-0.11175731806723199
Flow IAT Min,-0.04696389271488507
Fwd IAT Tot,-0.23872477302633513
Fwd IAT Mean,-0.09583041068969735
Fwd IAT Std,-0.18067879292141242
Fwd IAT Max,-0.17632788248573783
Fwd IAT Min,-0.05376246868421314
Bwd IAT Tot,-0.18261485205222097
Bwd IAT Mean,-0.06600298546791128
Bwd IAT Std,-0.018358999851915428
Bwd IAT Max,-0.08294101304855452
Bwd IAT Min,-0.05864497008296258
Fwd PSH Flags,-0.17348842188501043
Bwd PSH Flags,-0.03618539388499579
Fwd URG Flags,
Bwd URG Flags,
Fwd Header Len,0.011023107642306077
Bwd Header Len,-0.007821143986889578
Fwd Pkts/s,-0.10036126699751688
Bwd Pkts/s,0.04343933701124954
Pkt Len Min,-0.4100591940913929
Pkt Len Max,0.069859133142996
Pkt Len Mean,-0.05757177078496929
Pkt Len Std,0.12363091490949184
Pkt Len Var,0.02698193850825549
FIN Flag Cnt,0.013163649639087751
SYN Flag Cnt,0.17698137031169023
RST Flag Cnt,-0.21162701953436147
PSH Flag Cnt,-0.3932253247864851
ACK Flag Cnt,0.5009066351806026
URG Flag Cnt,-0.14118173553888494
CWE Flag Count,0.3003989082421924
ECE Flag Cnt,0.04448739505756106
Down/Up Ratio,0.10650421666247731
Pkt Size Avg,-0.07384102960574217
Fwd Seg Size Avg,0.28819998059375507
Bwd Seg Size Avg,-0.2434409138554796
Fwd Byts/b Avg,
Fwd Pkts/b Avg,
Fwd Blk Rate Avg,
Bwd Byts/b Avg,
Bwd Pkts/b Avg,
Bwd Blk Rate Avg,
Subflow Fwd Pkts,0.012024039220158364
Subflow Fwd Byts,0.013316635251667182
Subflow Bwd Pkts,-0.009678349985250032
Subflow Bwd Byts,-0.005429575272260629
Init Fwd Win Byts,-0.2791634012388209
Init Bwd Win Byts,0.011930099221283796
Fwd Act Data Pkts,0.012710755718918894
Fwd Seg Size Min,-0.7018781190063648
Active Mean,-0.055045675389110475
Active Std,-0.04729756290706724
Active Max,-0.06280781121177492
Active Min,-0.04247656113603534
Idle Mean,-0.12323769380310438
Idle Std,-0.059853483514352435
Idle Max,-0.1257838923772712
Idle Min,-0.11791482337535727
Label,1.0
